Symbol,Name,Sector,Industry
AMG,Affiliated Managers Group Inc. Common Stock,Finance,Investment Managers
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
AMK,AssetMark Financial Holdings Inc. Common Stock,Finance,Investment Managers
AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors
AMN,AMN Healthcare Services Inc,Consumer Discretionary,Professional Services
AMP,Ameriprise Financial Inc. Common Stock,Finance,Investment Managers
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMR,Alpha Metallurgical Resources Inc. Common Stock,Energy,Coal Mining
AMT,American Tower Corporation (REIT) Common Stock,Real Estate,Real Estate Investment Trusts
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Telecommunications,Telecommunications Equipment
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
AN,AutoNation Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment
ANF,Abercrombie & Fitch Company Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANSS,ANSYS Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,Specialty Insurers
AOS,A.O. Smith Corporation Common Stock,Industrials,Industrial Machinery/Components
APA,APA Corporation Common Stock,Energy,Oil & Gas Production
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,Finance,Investment Managers
APD,Air Products and Chemicals Inc. Common Stock,Industrials,Major Chemicals
APG,APi Group Corporation Common Stock,Consumer Discretionary,Engineering & Construction
APGE,Apogee Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APH,Amphenol Corporation Common Stock,Technology,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,Real Estate,Real Estate Investment Trusts
APLS,Apellis Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
APO,Apollo Global Management Inc. (New) Common Stock,Finance,Investment Managers
APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053,,
APP,Applovin Corporation Class A Common Stock,Technology,EDP Services
APPF,AppFolio Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,Technology,Computer Software: Prepackaged Software
APTV,Aptiv PLC Ordinary Shares,Consumer Discretionary,Auto Parts:O.E.M.
AQN,Algonquin Power & Utilities Corp. Common Shares,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,Utilities,Electric Utilities: Central
AQNU,Algonquin Power & Utilities Corp. Corporate Units,Utilities,Electric Utilities: Central
AR,Antero Resources Corporation Common Stock,Energy,Oil & Gas Production
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,Technology,EDP Services
ARCB,ArcBest Corporation Common Stock,Industrials,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation Common Stock,Finance,Finance: Consumer Services
ARCH,Arch Resources Inc. Class A Common Stock,Energy,Coal Mining
ARE,Alexandria Real Estate Equities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ARES,Ares Management Corporation Class A Common Stock,Finance,Investment Managers
ARGX,argenx SE American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARHS,Arhaus Inc. Class A Common Stock,Consumer Discretionary,Other Specialty Stores
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,Energy,Coal Mining
ARM,Arm Holdings plc American Depositary Shares,,
ARMK,Aramark Common Stock,Consumer Discretionary,Restaurants
AROC,Archrock Inc. Common Stock,Utilities,Natural Gas Distribution
ARVN,Arvinas Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ARW,Arrow Electronics Inc. Common Stock,Technology,Electronic Components
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ASAI,Sendas Distribuidora S A ADS,Consumer Staples,Food Chains
ASAN,Asana Inc. Class A Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
ASB,Associated Banc-Corp Common Stock,Finance,Major Banks
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,Finance,Major Banks
ASGN,ASGN Incorporated Common Stock,Consumer Discretionary,Professional Services
ASH,Ashland Inc. Common Stock,Consumer Discretionary,Specialty Chemicals
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components
ASND,Ascendis Pharma A/S American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ASO,Academy Sports and Outdoors Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,Consumer Discretionary,Aerospace
ASTH,Astrana Health Inc. Common Stock,Consumer Discretionary,Professional Services
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,Technology,Semiconductors
ATCOL,Atlas Corp. 7.125% Notes due 2027,Basic Materials,Precious Metals
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,Technology,EDP Services
ATI,ATI Inc. Common Stock,Industrials,Steel/Iron Ore
ATKR,Atkore Inc. Common Stock,Miscellaneous,Industrial Machinery/Components
ATMU,Atmus Filtration Technologies Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
ATO,Atmos Energy Corporation Common Stock,Utilities,Oil/Gas Transmission
ATR,AptarGroup Inc. Common Stock,Industrials,Plastic Products
ATS,ATS Corporation Common Shares,Industrials,Industrial Machinery/Components
AU,AngloGold Ashanti PLC Ordinary Shares,Basic Materials,Precious Metals
AUB,Atlantic Union Bankshares Corporation Common Stock,Finance,Major Banks
AUR,Aurora Innovation Inc. Class A Common Stock,Technology,EDP Services
AVA,Avista Corporation Common Stock,Utilities,Power Generation
AVAV,AeroVironment Inc. Common Stock,Industrials,Aerospace
AVB,AvalonBay Communities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AVDX,AvidXchange Holdings Inc. Common Stock,Technology,EDP Services
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors
AVNT,Avient Corporation Common Stock,Industrials,Major Chemicals
AVT,Avnet Inc. Common Stock,Technology,Electronic Components
AVTR,Avantor Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
AVY,Avery Dennison Corporation Common Stock,Consumer Discretionary,Containers/Packaging
AWI,Armstrong World Industries Inc Common Stock,Industrials,Plastic Products
AWK,American Water Works Company Inc. Common Stock,Utilities,Water Supply
AWR,American States Water Company Common Stock,Utilities,Water Supply
AX,Axos Financial Inc. Common Stock,Finance,Savings Institutions
AXNX,Axonics Inc. Common Stock,Health Care,Medical/Dental Instruments
AXON,Axon Enterprise Inc. Common Stock,Industrials,Ordnance And Accessories
AXP,American Express Company Common Stock,Finance,Finance: Consumer Services
AXS,Axis Capital Holdings Limited Common Stock,Finance,Property-Casualty Insurers
AXSM,Axsome Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AXTA,Axalta Coating Systems Ltd. Common Shares,Consumer Discretionary,Paints/Coatings
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,Utilities,Electric Utilities: Central
AYI,Acuity Brands Inc. ,Consumer Discretionary,Building Products
AYX,Alteryx Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AZEK,The AZEK Company Inc. Class A Common Stock,Industrials,Plastic Products
AZN,AstraZeneca PLC American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
AZO,AutoZone Inc. Common Stock,Consumer Discretionary,Auto & Home Supply Stores
AZPN,Aspen Technology Inc. Common Stock,Technology,EDP Services
AZTA,Azenta Inc.,Health Care,Medical/Dental Instruments
BA,Boeing Company (The) Common Stock,Industrials,Aerospace
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Consumer Discretionary,Catalog/Specialty Distribution
BAC,Bank of America Corporation Common Stock,Finance,Major Banks
BAH,Booz Allen Hamilton Holding Corporation Common Stock,Consumer Discretionary,Professional Services
BAK,Braskem SA ADR,Industrials,Major Chemicals
BALL,Ball Corporation Common Stock,Industrials,Containers/Packaging
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,,
BANC,Banc of California Inc. Common Stock,Finance,Major Banks
BANF,BancFirst Corporation Common Stock,Finance,Major Banks
BAP,Credicorp Ltd. Common Stock,Finance,Commercial Banks
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,Consumer Discretionary,Movies/Entertainment
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,Consumer Discretionary,Movies/Entertainment
BAX,Baxter International Inc. Common Stock,Health Care,Medical/Dental Instruments
BBD,Banco Bradesco Sa American Depositary Shares,Finance,Major Banks
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Finance,Major Banks
BBIO,BridgeBio Pharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,Consumer Discretionary,Engineering & Construction
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,,
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Finance,Commercial Banks
BBWI,Bath & Body Works Inc.,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BBY,Best Buy Co. Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains
BC,Brunswick Corporation Common Stock,Consumer Discretionary,Homebuilding
BCC,Boise Cascade L.L.C. Common Stock,Consumer Discretionary,RETAIL: Building Materials
BCE,BCE Inc. Common Stock,,
BCH,Banco De Chile ADS,Finance,Commercial Banks
BCO,Brinks Company (The) Common Stock,Consumer Discretionary,Oil Refining/Marketing
BCPC,Balchem Corporation Common Stock,Industrials,Major Chemicals
BCS,Barclays PLC Common Stock,Finance,Commercial Banks
BDC,Belden Inc Common Stock,Telecommunications,Telecommunications Equipment
BDX,Becton Dickinson and Company Common Stock,Health Care,Medical/Dental Instruments
BE,Bloom Energy Corporation Class A Common Stock,Energy,Industrial Machinery/Components
BEAM,Beam Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BECN,Beacon Roofing Supply Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),Finance,Real Estate
BEN,Franklin Resources Inc. Common Stock,Finance,Investment Managers
BEP,Brookfield Renewable Partners L.P. ,Utilities,Electric Utilities: Central
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,Utilities,Electric Utilities: Central
BERY,Berry Global Group Inc. Common Stock,Industrials,Plastic Products
BFAM,Bright Horizons Family Solutions Inc. Common Stock,Consumer Discretionary,Other Consumer Services
BG,Bunge Limited Common Shares,Consumer Staples,Packaged Foods
BGC,BGC Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
BGNE,BeiGene Ltd. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
BHC,Bausch Health Companies Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BHF,Brighthouse Financial Inc. Common Stock,Finance,Life Insurance
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Basic Materials,Metal Mining
BHVN,Biohaven Ltd. Common Shares ,Health Care,Biotechnology: Pharmaceutical Preparations
BIDU,Baidu Inc. ADS,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BILI,Bilibili Inc. American Depositary Shares,Technology,EDP Services
BILL,BILL Holdings Inc. Common Stock,Technology,EDP Services
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Consumer Discretionary,Marine Transportation
BIPC,Brookfield Infrastructure Corporation ,Consumer Discretionary,Marine Transportation
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,,
BIRK,Birkenstock Holding plc Ordinary Shares,,
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
BK,The Bank of New York Mellon Corporation Common Stock,Finance,Major Banks
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,Health Care,Hospital/Nursing Management
BKH,Black Hills Corporation Common Stock,Utilities,Electric Utilities: Central
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,Industrials,Metal Fabrications
BL,BlackLine Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BLCO,Bausch + Lomb Corporation Common Shares,,
BLD,TopBuild Corp. Common Stock,Consumer Discretionary,Engineering & Construction
BLDR,Builders FirstSource Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
BLKB,Blackbaud Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BLMN,Bloomin' Brands Inc. Common Stock,Consumer Discretionary,Restaurants
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Finance,Commercial Banks
BMI,Badger Meter Inc. Common Stock,Industrials,Industrial Machinery/Components
BMO,Bank Of Montreal Common Stock,Finance,Commercial Banks
BMRN,BioMarin Pharmaceutical Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BN,Brookfield Corporation Class A Limited Voting Shares,Real Estate,Building operators
BNH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,Real Estate,Building operators
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,Real Estate,Building operators
BNL,Broadstone Net Lease Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BNRE,Brookfield Reinsurance Ltd. Class A Exchangeable Limited Voting Shares,Finance,Property-Casualty Insurers
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,Finance,Major Banks
BNTX,BioNTech SE American Depositary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BOH,Bank of Hawaii Corporation Common Stock,Finance,Major Banks
BOKF,BOK Financial Corporation Common Stock,Finance,Major Banks
BOOT,Boot Barn Holdings Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BOWL,Bowlero Corp. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
BOX,Box Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BP,BP p.l.c. Common Stock,Energy,Integrated oil Companies
BPMC,Blueprint Medicines Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BPOP,Popular Inc. Common Stock,Finance,Major Banks
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,Finance,Real Estate
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,Finance,Real Estate
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,Finance,Real Estate
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,Finance,Real Estate
BR,Broadridge Financial Solutions Inc. Common Stock,Consumer Discretionary,Business Services
BRBR,BellRing Brands Inc. Common Stock ,Consumer Staples,Packaged Foods
BRC,Brady Corporation Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries
BRFS,BRF S.A.,Consumer Staples,Meat/Poultry/Fish
BRKR,Bruker Corporation Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
BRO,Brown & Brown Inc. Common Stock,Finance,Specialty Insurers
BROS,Dutch Bros Inc. Class A Common Stock,Consumer Discretionary,Restaurants
BRP,BRP Group Inc. (Insurance Company) Class A Common Stock,Finance,Specialty Insurers
BRX,Brixmor Property Group Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BRZE,Braze Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BSAC,Banco Santander - Chile ADS,Finance,Commercial Banks
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Finance,Commercial Banks
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,Energy,Oil & Gas Production
BSX,Boston Scientific Corporation Common Stock,Health Care,Medical/Dental Instruments
BSY,Bentley Systems Incorporated Class B Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
BTE,Baytex Energy Corp Common Shares,Consumer Staples,Meat/Poultry/Fish
BTG,B2Gold Corp Common shares (Canada),Basic Materials,Precious Metals
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,Health Care, Medicinal Chemicals and Botanical Products 
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,,
BTU,Peabody Energy Corporation Common Stock ,Energy,Coal Mining
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Staples,Beverages (Production/Distribution)
BUR,Burford Capital Limited Ordinary Shares,Finance,Finance: Consumer Services
BURL,Burlington Stores Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
BVN,Buenaventura Mining Company Inc.,Basic Materials,Metal Mining
BWA,BorgWarner Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
BWXT,BWX Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
BX,Blackstone Inc. Common Stock,Finance,Investment Managers
BXMT,Blackstone Mortgage Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BXP,Boston Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BYD,Boyd Gaming Corporation Common Stock,Consumer Discretionary,Hotels/Resorts
BZ,KANZHUN LIMITED American Depository Shares,Technology,Computer Software: Programming Data Processing
C,Citigroup Inc. Common Stock,Finance,Major Banks
CAAP,Corporacion America Airports SA Common Shares,Consumer Discretionary,Aerospace
CABO,Cable One Inc. Common Stock,Telecommunications,Cable & Other Pay Television Services
CACC,Credit Acceptance Corporation Common Stock,Finance,Finance: Consumer Services
CACI,CACI International Inc. Class A Common Stock,Technology,EDP Services
CADE,Cadence Bank Common Stock,Finance,Major Banks
CAE,CAE Inc. Ordinary Shares,,
CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,Packaged Foods
CAH,Cardinal Health Inc. Common Stock,Health Care,Other Pharmaceuticals
CALM,Cal-Maine Foods Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
CALX,Calix Inc Common Stock,Consumer Discretionary,Telecommunications Equipment
CAMT,Camtek Ltd. Ordinary Shares,Technology,Electronic Components
CAR,Avis Budget Group Inc. Common Stock,Consumer Discretionary,Rental/Leasing Companies
CARG,CarGurus Inc. Class A Common Stock ,Technology,EDP Services
CARR,Carrier Global Corporation Common Stock ,Industrials,Industrial Machinery/Components
CART,Maplebear Inc. Common Stock,,
